Column Name,Description,Type
school_elementary_district_geoid,"School district (elementary) GEOID, derived from Cook County and City of Chicago shapefiles. Chicago Public Schools are associated with attendance areas where suburban schools are associated with districts.",Plain Text
school_elementary_district_name,"School district (elementary) name, derived from Cook County and City of Chicago shapefiles. Chicago Public Schools are associated with attendance areas where suburban schools are associated with districts.",Plain Text
school_secondary_district_geoid,"School district (secondary) GEOID, derived from Cook County and City of Chicago shapefiles. Chicago Public Schools are associated with attendance areas where suburban schools are associated with districts.",Plain Text
school_secondary_district_name,"School district (secondary) name, derived from Cook County and City of Chicago shapefiles. Chicago Public Schools are associated with attendance areas where suburban schools are associated with districts.",Plain Text
school_unified_district_geoid,"School district (unified) GEOID, derived from Cook County and City of Chicago shapefiles. Chicago Public Schools are associated with attendance areas where suburban schools are associated with districts.",Plain Text
school_unified_district_name,"School district (unified) name, derived from Cook County and City of Chicago shapefiles. Chicago Public Schools are associated with attendance areas where suburban schools are associated with districts.",Plain Text
school_year,School year,Plain Text
school_data_year,School data year,Number
tax_municipality_num,Municipality number,Plain Text
tax_municipality_name,Municipality name,Plain Text
tax_school_elementary_district_num,"School district (elementary) number, derived from tax district. Chicago Public Schools are associated with attendance areas where suburban schools are associated with districts.",Plain Text
tax_school_elementary_district_name,"School district (elementary) name, derived from tax district. Chicago Public Schools are associated with attendance areas where suburban schools are associated with districts.",Plain Text
tax_school_secondary_district_num,"School district (secondary) number, derived from tax district. Chicago Public Schools are associated with attendance areas where suburban schools are associated with districts.",Plain Text
tax_school_secondary_district_name,"School district (secondary) name, derived from tax district. Chicago Public Schools are associated with attendance areas where suburban schools are associated with districts.",Plain Text
tax_school_unified_district_num,"School district (unified) number, derived from tax district. Chicago Public Schools are associated with attendance areas where suburban schools are associated with districts.",Plain Text
tax_school_unified_district_name,"School district (unified) name, derived from tax district. Chicago Public Schools are associated with attendance areas where suburban schools are associated with districts.",Plain Text
tax_community_college_district_num,Community college district number,Plain Text
tax_community_college_district_name,Community college district name,Plain Text
tax_fire_protection_district_num,Fire protection district number,Plain Text
tax_fire_protection_district_name,Fire protection district name,Plain Text
tax_library_district_num,Library district number,Plain Text
tax_library_district_name,Library district name,Plain Text
tax_park_district_num,Park district number,Plain Text
tax_park_district_name,Park district name,Plain Text
tax_sanitation_district_num,Sanitation district number,Plain Text
tax_sanitation_district_name,Sanitation district name,Plain Text
tax_special_service_area_num,Special Service Area number,Plain Text
tax_special_service_area_name,Special Service Area name,Plain Text
tax_tif_district_num,TIF district number,Plain Text
tax_tif_district_name,TIF district name,Plain Text
tax_districts_data_year,"Data year for municipality, school, community college, fire, library, park, sanitary, special service area, and tax increment financing tax districts.",Number
cmap_walkability_grid_id,CMAP walkability grid ID. From CMAP's ON TO 2050 spatial data files,Plain Text
cmap_walkability_no_transit_score,CMAP walkability score (no transit). From CMAP's ON TO 2050 spatial data files,Number
cmap_walkability_total_score,CMAP walkability total score. From CMAP's ON TO 2050 spatial data files,Number
cmap_walkability_data_year,CMAP walkability data year,Number
subdivision_id,Subdivision ID,Plain Text
subdivision_data_year,Subdivision data year,Number
